date,SPY US Equity,EEM US Equity,REET US Equity,ALTY US Equity,IPO US Equity,VBK US Equity,PSP US Equity,IGEB US Equity,TLH US Equity,VYM US Equity,TLT US Equity
2020-12-31,397.6336,56.0415,27.7933,15.5077,65.22,273.6615,83.1522,63.6219,171.8882,101.8631,169.3519
2021-01-29,393.5815,57.8203,27.6772,15.72,68.8304,279.612,83.4606,62.8455,166.7819,101.2842,163.1997
2021-02-26,404.5252,58.2758,28.8038,16.3686,67.5461,287.9754,87.2851,61.8275,158.0131,105.9149,153.8431
2021-03-31,422.8927,57.8528,29.8681,17.0582,62.8839,281.0082,90.0159,60.9963,151.6143,113.2676,145.7757
2021-04-30,445.2682,58.547,31.9195,18.105,63.0255,291.2397,96.9354,61.6818,154.5229,116.1584,149.4097
2021-05-28,448.1918,59.5123,32.2946,18.3164,62.2265,283.4433,98.7351,61.9959,154.6119,119.6766,149.4129
2021-06-30,458.2639,60.0756,32.7447,18.5891,66.9494,296.8098,98.3757,63.0241,159.5354,118.2419,156.0159
2021-07-30,469.4513,56.2085,34.0913,18.7679,63.4603,292.8666,103.5162,63.7985,164.8502,118.8965,161.8139
2021-08-31,483.4221,57.0909,34.6229,18.9208,67.5865,298.6739,104.9941,63.6055,164.4961,121.3793,161.2614
2021-09-30,460.9065,54.8796,32.5821,18.4699,65.038,287.0926,99.0276,62.8923,160.2905,117.4914,156.5736
2021-10-29,493.2454,55.4678,34.7693,19.0212,69.3361,302.9146,108.4147,63.1093,161.3245,123.2778,160.4316
2021-11-30,489.2822,53.202,34.2462,18.4741,63.7536,284.418,103.8534,62.9508,164.8204,120.4244,164.8797
2021-12-31,511.9335,54.0156,36.8052,19.0881,58.4947,289.1427,105.9009,62.8993,162.6373,128.5565,161.5578
2022-01-31,484.9335,54.0046,34.4365,18.564,47.0365,252.0494,96.7905,60.9772,157.3439,127.88,155.2346
2022-02-28,470.6197,51.6714,33.5828,18.1296,46.3994,251.2798,89.6665,59.8199,155.8356,125.9994,152.7005
2022-03-31,488.2941,49.9244,35.2864,18.7677,44.579,254.6044,88.9827,58.2284,147.9231,129.479,144.3844
2022-04-29,445.437,46.8614,33.4622,17.8292,35.9929,226.5202,77.7995,55.0767,136.388,124.0346,130.7768
2022-05-31,446.4425,47.1489,31.9764,17.8594,31.4419,220.0661,78.9731,55.6644,134.6297,128.3948,127.8339
2022-06-30,409.6247,44.7261,29.3685,16.9071,30.4508,202.4144,68.5022,53.9617,132.7117,118.2967,126.2053
2022-07-29,447.346,44.57,31.8462,18.0524,32.9589,226.1148,75.9663,55.9695,136.632,123.7405,129.2708
2022-08-31,429.0934,43.9789,29.7572,17.4257,32.4634,220.7213,69.6184,54.1323,130.4037,120.7045,123.3797
2022-09-30,389.4381,38.9039,26.1743,15.7986,28.7215,200.8631,59.4314,51.5693,121.1026,111.187,113.2239
2022-10-31,421.0899,38.1343,27.208,16.316,28.3068,214.9965,64.1381,51.3117,116.1695,124.7807,106.4669
2022-11-30,444.499,44.0792,29.0416,17.28,27.9428,220.8331,70.8118,53.9944,123.7086,132.597,114.0773
2022-12-30,418.9066,42.9124,27.9464,16.8158,24.9998,206.9158,66.3158,53.5556,121.5717,127.9668,111.0796
